week_date,bpi_5tc,bci_5tc,bdi,vlsfo_sgp_usd_t,usd_inr,cyclone_dummy,port_congestion_paradip_days,red_sea_disruption,freight_rate_usd_t,route_key,vessel_class,data_source,bpi_5tc_lag1,bpi_5tc_lag2,bpi_5tc_lag3,bpi_5tc_lag4,bpi_5tc_lag8,bpi_5tc_lag12,bci_5tc_lag1,bci_5tc_lag2,bci_5tc_lag3,bci_5tc_lag4,bci_5tc_lag8,bci_5tc_lag12,vlsfo_sgp_usd_t_lag1,vlsfo_sgp_usd_t_lag2,vlsfo_sgp_usd_t_lag3,vlsfo_sgp_usd_t_lag4,vlsfo_sgp_usd_t_lag8,vlsfo_sgp_usd_t_lag12,freight_rate_usd_t_lag1,freight_rate_usd_t_lag2,freight_rate_usd_t_lag3,freight_rate_usd_t_lag4,freight_rate_usd_t_lag8,freight_rate_usd_t_lag12,bpi_5tc_roll4_mean,bpi_5tc_roll4_std,bpi_5tc_roll12_mean,bpi_5tc_roll12_std,vlsfo_sgp_usd_t_roll4_mean,vlsfo_sgp_usd_t_roll4_std,vlsfo_sgp_usd_t_roll12_mean,vlsfo_sgp_usd_t_roll12_std,freight_rate_usd_t_roll4_mean,freight_rate_usd_t_roll4_std,freight_rate_usd_t_roll12_mean,freight_rate_usd_t_roll12_std,bpi_momentum_4w,bpi_momentum_12w,vlsfo_momentum_4w,bunker_bpi_interaction,usd_inr_change_4w,bpi_zscore_26w,week_of_year,month,week_sin,week_cos,prophet_pred,residual,xgb_residual_pred,ensemble_pred,p10_residual,p90_residual
2020-03-30,6442.0,7791.0,6660.0,359.9,72.58,0,2.1,0,6.0,AUS_PARADIP_PANAMAX,Panamax,synthetic_public_proxy,5887.0,5317.0,5526.0,9988.0,12971.0,12000.0,6459.0,5322.0,6079.0,13662.0,14298.0,12253.0,347.6,333.1,349.9,560.7,619.5,550.0,6.0,6.0,6.0,7.95,9.96,8.68,5793.0,492.578927685707,9416.75,2836.8634768637767,347.625,11.057840355761032,516.4666666666667,126.30808894656484,6.0,0.0,8.060833333333333,1.758643373498879,-3546.0,-5558.0,-200.80000000000007,2.0463212000000004,0.8799999999999955,-1.129748831336288,14,3,0.992708874098054,-0.1205366802553228,5.046908101544978,0.9530918984550221,0.6699232,5.716831287847163,-0.7799431720240569,0.3510270142358753
2020-04-06,6638.0,6538.0,6266.0,333.6,72.07,0,2.2,0,6.0,AUS_PARADIP_PANAMAX,Panamax,synthetic_public_proxy,6442.0,5887.0,5317.0,5526.0,11062.0,12296.0,7791.0,6459.0,5322.0,6079.0,15337.0,16293.0,359.9,347.6,333.1,349.9,615.1,600.4,6.0,6.0,6.0,6.0,8.69,9.21,6071.0,594.839474144076,8945.25,2784.5248044080404,343.54999999999995,12.805337428854957,494.23333333333335,133.46931096584328,6.0,0.0,7.793333333333333,1.811299550214172,1112.0,-5658.0,-16.299999999999955,2.3184758,0.8099999999999881,-0.9826259807793072,15,4,0.970941817426052,-0.2393156642875575,5.660023804230647,0.3399761957693528,0.241706,5.90172980300899,-0.7799431720240569,0.3510270142358753
2020-04-13,7440.0,9588.0,7927.0,337.9,72.8,0,2.0,0,6.38,AUS_PARADIP_PANAMAX,Panamax,synthetic_public_proxy,6638.0,6442.0,5887.0,5317.0,10000.0,11303.0,6538.0,7791.0,6459.0,5322.0,11729.0,12777.0,333.6,359.9,347.6,333.1,603.5,623.2,6.0,6.0,6.0,6.0,8.67,8.77,6601.75,643.0046008129862,8623.333333333334,2709.454669497278,344.75,11.674616339170766,470.4583333333333,133.8178304353506,6.095000000000001,0.1899999999999445,7.594166666666667,1.8254885190910772,2123.0,-3863.0,4.7999999999999545,2.2144368,1.5300000000000011,-0.6641584394815276,16,4,0.9350162426854148,-0.3546048870425354,6.049536961804208,0.33046303819579226,0.21787627,6.267413232217606,-0.7799431720240569,0.3510270142358753
2020-04-20,7877.0,8558.0,7756.0,361.9,72.95,0,2.6,0,6.66,AUS_PARADIP_PANAMAX,Panamax,synthetic_public_proxy,7440.0,6638.0,6442.0,5887.0,10177.0,12032.0,9588.0,6538.0,7791.0,6459.0,12176.0,15933.0,337.9,333.6,359.9,347.6,567.2,617.5,6.38,6.0,6.0,6.0,8.13,11.35,7099.25,674.7183980496366,8277.083333333334,2490.9276643025737,348.32500000000005,14.648862299401625,449.1583333333333,128.52262240437275,6.26,0.3212475680841495,7.203333333333333,1.4009693613763134,1990.0,-4155.0,14.299999999999956,2.513976,1.5300000000000011,-0.4866097866732503,17,4,0.8854560256532099,-0.4647231720437685,6.560367784080807,0.09963221591919336,0.112064235,6.672432018993202,0.020778645802061395,0.231994128841704
2020-04-27,7486.0,9600.0,7957.0,387.4,73.22,0,2.4,0,6.0,AUS_PARADIP_PANAMAX,Panamax,synthetic_public_proxy,7877.0,7440.0,6638.0,6442.0,9988.0,12971.0,8558.0,9588.0,6538.0,7791.0,13662.0,14298.0,361.9,337.9,333.6,359.9,560.7,619.5,6.66,6.38,6.0,6.0,7.95,9.96,7360.25,519.8874076823441,7820.0,2007.662231642472,355.2,24.816526751343712,429.8166666666666,117.55359190470097,6.26,0.3212475680841495,6.873333333333334,1.1334527566313275,1044.0,-5485.0,27.5,2.8506863,0.6400000000000006,-0.6068680627786939,18,4,0.8229838658936565,-0.5680647467311557,6.555473244123356,-0.5554732441233563,-0.27001977,6.285453474454777,-0.17624489227014717,0.21493593440465963
2020-05-04,7868.0,6262.0,6832.0,412.6,73.35,0,2.6,0,6.66,AUS_PARADIP_PANAMAX,Panamax,synthetic_public_proxy,7486.0,7877.0,7440.0,6638.0,5526.0,11062.0,9600.0,8558.0,9588.0,6538.0,6079.0,15337.0,387.4,361.9,337.9,333.6,349.9,615.1,6.0,6.66,6.38,6.0,6.0,8.69,7667.75,237.19805367386093,7553.833333333333,1731.509789609965,374.94999999999993,32.22592124362226,412.94166666666666,102.05017890798386,6.425000000000001,0.3125699921617261,6.704166666666667,0.9785746437208244,1230.0,-3194.0,79.0,2.9000764,1.2800000000000011,-0.4468327153198927,19,5,0.7485107481711013,-0.663122658240795,6.979324168239949,-0.319324168239949,-0.25562283,6.72370133427274,-0.17457740436375868,0.19787773996761526
2020-05-11,7425.0,7973.0,7273.0,417.0,73.63,0,3.0,0,7.03,AUS_PARADIP_PANAMAX,Panamax,synthetic_public_proxy,7868.0,7486.0,7877.0,7440.0,5317.0,10000.0,6262.0,9600.0,8558.0,9588.0,5322.0,11729.0,412.6,387.4,361.9,337.9,333.1,603.5,6.66,6.0,6.66,6.38,6.0,8.67,7664.0,242.06748370375527,7339.25,1550.944060007556,394.725,25.474349844503,397.4,82.77137186249844,6.5875,0.4287481778386737,6.5675,0.7717291682260783,-15.0,-2575.0,79.10000000000002,3.2463368000000004,0.8299999999999983,-0.5971539937674059,20,5,0.6631226582407952,-0.7485107481711012,7.634591021772345,-0.6045910217723449,-0.285567,7.349024036165198,-0.2988816991389454,0.18081954553057097
2020-05-18,8138.0,7516.0,7482.0,403.1,73.64,0,2.7,0,7.77,AUS_PARADIP_PANAMAX,Panamax,synthetic_public_proxy,7425.0,7868.0,7486.0,7877.0,5887.0,10177.0,7973.0,6262.0,9600.0,8558.0,6459.0,12176.0,417.0,412.6,387.4,361.9,347.6,567.2,7.03,6.66,6.0,6.66,6.0,8.13,7729.25,335.69169883490986,7169.333333333333,1303.7853513612722,405.025,13.103784440641142,383.7250000000001,63.47403370312502,6.864999999999999,0.7385797181076563,6.5375000000000005,0.7099951984472762,261.0,-2039.0,41.200000000000045,3.096225,0.6899999999999977,-0.3065431139063283,21,5,0.5680647467311558,-0.8229838658936564,7.643199117760053,0.12680088223994623,-0.000721734,7.64247738374292,-0.2955246429679034,0.17421644502580702
2020-05-25,8254.0,8658.0,8003.0,386.2,74.37,0,2.7,0,7.21,AUS_PARADIP_PANAMAX,Panamax,synthetic_public_proxy,8138.0,7425.0,7868.0,7486.0,6442.0,9988.0,7516.0,7973.0,6262.0,9600.0,7791.0,13662.0,403.1,417.0,412.6,387.4,359.9,560.7,7.77,7.03,6.66,6.0,6.0,7.95,7921.25,368.2402974508193,7024.833333333333,1030.4224935197738,404.725,13.644382238371543,369.1833333333333,30.847037085750895,7.1675,0.4623400624359964,6.475833333333334,0.5997341582785376,768.0,-1734.0,-1.1999999999999886,3.2804278000000004,1.1500000000000057,-0.2531223686890724,22,5,0.464723172043769,-0.8854560256532096,7.156469192114098,0.05353080788590159,-0.0019740225,7.154495169632508,-0.2921675867968613,0.15865183543623138
2020-06-01,8280.0,9359.0,8298.0,398.6,74.24,0,3.5,0,7.74,AUS_PARADIP_PANAMAX,Panamax,synthetic_public_proxy,8254.0,8138.0,7425.0,7868.0,6638.0,5526.0,8658.0,7516.0,7973.0,6262.0,6538.0,6079.0,386.2,403.1,417.0,412.6,333.6,349.9,7.21,7.77,7.03,6.66,6.0,6.0,8024.25,404.2411615195413,7254.333333333333,971.2398199614664,401.225,12.714919058601629,373.24166666666673,31.27995170693001,7.4375,0.3741100551085516,6.620833333333334,0.6792972081274161,412.0,2754.0,-14.0,3.1876948,0.8900000000000006,-0.236685366627779,23,6,0.3546048870425358,-0.9350162426854148,7.045047804116317,0.6949521958836833,0.32978785,7.374835654496261,-0.28881053062581924,0.2913682754879272
